Category,Product,URL
foundation-makeup,tarte SEA Water Foundation Broad Spectrum SPF 15,https://www.sephora.com/product/sea-water-foundation-broad-spectrum-spf-15-P405102?skuId=2179158&icid2=products%20grid:p405102
foundation-makeup,Charlotte Tilbury Airbrush Flawless Longwear Foundation,https://www.sephora.com/product/airbrush-flawless-longwear-foundation-P448869?icid2=products%20grid:p448869
foundation-makeup,Urban Decay Stay Naked Weightless Foundation,https://www.sephora.com/product/stay-naked-weightless-foundation-P447143?icid2=products%20grid:p447143
foundation-makeup,MAKE UP FOR EVER Matte Velvet Skin Full Coverage Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products%20grid:p434023
foundation-makeup,BECCA Cosmetics Skin Love Weightless Blur Foundation,https://www.sephora.com/product/skin-love-weightless-blur-foundation-P434379?icid2=products%20grid:p434379
foundation-makeup,Yves Saint Laurent All Hours Longwear Natural Matte Foundation,https://www.sephora.com/product/all-hours-full-coverage-matte-foundation-P421456?icid2=products%20grid:p421456
foundation-makeup,IT Cosmetics CC+ Cream Oil-Free Matte with SPF 40,https://www.sephora.com/product/your-skin-but-better-cc-oil-free-matte-with-spf-40-P433435?icid2=products%20grid:p433435
foundation-makeup,bareMinerals Original Loose Mineral Foundation Deluxe Collector's Edition,https://www.sephora.com/product/bareminerals-original-loose-mineral-foundation-deluxe-collector-s-edition-P463790?icid2=products%20grid:p463790
foundation-makeup,bareMinerals Matte Loose Powder Mineral Foundation SPF 15,https://www.sephora.com/product/bareminerals-matte-foundation-broad-spectrum-spf-15-P240604?icid2=products%20grid:p240604
foundation-makeup,Hourglass Vanish™ Seamless Finish Foundation Stick,https://www.sephora.com/product/vanish-seamless-finish-foundation-stick-P410532?icid2=products%20grid:p410532
foundation-makeup,HUDA BEAUTY #FauxFilter Full Coverage Matte Foundation,https://www.sephora.com/product/fauxfilter-foundation-P424302?icid2=products%20grid:p424302
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,https://www.sephora.com/product/smooth-finish-foundation-powder-P381714?icid2=products%20grid:p381714
foundation-makeup,bareMinerals BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20,https://www.sephora.com/product/barepro-performance-wear-liquid-foundation-broad-spectrum-spf-20-P421001?icid2=products%20grid:p421001
foundation-makeup,CLINIQUE Superpowder Double Face Makeup Foundation,https://www.sephora.com/product/superpowder-double-face-makeup-P122736?skuId=51904&icid2=products%20grid:p122736
foundation-makeup,SEPHORA COLLECTION Make No Mistake Foundation & Concealer Stick,https://www.sephora.com/product/make-no-mistake-foundation-concealer-stick-P420440?icid2=products%20grid:p420440
foundation-makeup,tarte Amazonian Clay Full Coverage Airbrush Foundation,https://www.sephora.com/product/amazonian-clay-airbrush-foundation-P380829?icid2=products%20grid:p380829
foundation-makeup,MILK MAKEUP Flex Foundation Stick,https://www.sephora.com/product/flex-foundation-stick-P448151?icid2=products%20grid:p448151
