Category,Product,Price,UserName,UserID,Rating,Eyecolor,Haircolor,Skintone,SwatchID,R,G,B
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,carpemakeup,939237638,5,blue,red,fair,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Jewelee888,1416060714,5,brown,blonde,light,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Oaltinok,1521581381,5,hazel,blonde,medium,1530559,249.44367283950618,187.94907407407408,127.64274691358025
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Taya24,20125117092,5,brown,brunette,tan,1530583,212.53395061728395,156.1304012345679,105.88271604938272
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,brownskinlady21,6668431914,5,brown,black,deep,1530575,208.08564814814815,155.45216049382717,116.56095679012346
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,mayasita,9775835138,5,brown,auburn,fair,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,ShanCain,10953662812,5,brown,brunette,medium,1530468,252.36805555555554,198.71836419753086,160.9212962962963
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Hongipoo,903074831,5,brown,brunette,medium,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,rar62686,1826636846,5,brown,brunette,light,1530518,236.27854938271605,183.9922839506173,136.49614197530863
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,sbinez,5450664247,5,brown,brunette,olive,1530609,193.07793209876544,126.61033950617283,80.12114197530865
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Cessiley,5475437740,5,brown,blonde,light,1530500,242.92592592592592,194.29012345679013,145.5679012345679
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,jvh354,1333157595,5,brown,brunette,deep,1530609,193.07793209876544,126.61033950617283,80.12114197530865
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,pamfarm,1315405612,5,brown,brunette,medium,1530500,242.92592592592592,194.29012345679013,145.5679012345679
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,BrdittaSolntse,7709151702,5,green,brunette,fair,1530476,249.16203703703704,208.241512345679,180.3479938271605
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,AnitaSue60,5428533678,5,blue,blonde,light,1530476,249.16203703703704,208.241512345679,180.3479938271605
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,indiaf,8686880049,5,brown,black,dark,1530609,193.07793209876544,126.61033950617283,80.12114197530865
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,remmedanielle,2653432948,5,green,brunette,medium,1530534,221.1466049382716,163.69984567901236,108.18981481481481
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Monicacarbonell,8378423772,5,brown,brunette,light,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,juhi,1335431226,5,brown,black,olive,1530559,249.44367283950618,187.94907407407408,127.64274691358025
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,aunnie12,11057924165,5,green,blonde,medium,1530518,236.27854938271605,183.9922839506173,136.49614197530863
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,hammondclh,1445741538,5,blue,brunette,medium,1530542,245.93364197530863,187.89891975308643,128.42206790123456
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Holigolightly,1327603646,5,brown,brunette,medium,1530526,224.94675925925927,163.06172839506172,115.46836419753086
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,indiaf,8686880049,5,brown,black,dark,1530567,195.45216049382717,153.7283950617284,127.02160493827161
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,QueenDido,21336049893,5,blue,brunette,porcelain,1530476,249.16203703703704,208.241512345679,180.3479938271605
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Mariepierre19,10315394677,5,blue,blonde,light,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,amymor,5216498729,5,brown,brunette,light,1530559,249.44367283950618,187.94907407407408,127.64274691358025
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,KatieDDG,1304533448,5,green,brunette,light,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Nefer76,24226117058,5,brown,brunette,light,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,theresahghs,21857859099,5,brown,brunette,olive,1530542,245.93364197530863,187.89891975308643,128.42206790123456
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,kswaggoner,2203400738,5,brown,brunette,light,1530468,252.36805555555554,198.71836419753086,160.9212962962963
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,rackie11,1838536363,5,brown,black,deep,1530583,212.53395061728395,156.1304012345679,105.88271604938272
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Priyanka87,1437593154,5,brown,black,tan,1530526,224.94675925925927,163.06172839506172,115.46836419753086
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,xtarxo,9122423470,5,brown,black,medium,1530500,242.92592592592592,194.29012345679013,145.5679012345679
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,EFLA,1570110782,5,blue,blonde,light,1530500,242.92592592592592,194.29012345679013,145.5679012345679
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Jennay123,5137667981,5,blue,blonde,fair,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,abri09,1034239528,5,brown,brunette,olive,1530500,242.92592592592592,194.29012345679013,145.5679012345679
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,RuralRaisedFem,7199946928,5,hazel,blonde,light,1530500,242.92592592592592,194.29012345679013,145.5679012345679
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,unique93,6073730811,5,brown,brunette,fair,1530518,236.27854938271605,183.9922839506173,136.49614197530863
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,erinyejane,58969266,5,blue,brunette,light,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Sosar8,2527643291,5,brown,brunette,light,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,calimom1630,6813749382,5,blue,blonde,fair,1530468,252.36805555555554,198.71836419753086,160.9212962962963
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,DelicateNancy,12128737153,5,blue,gray,fair,1530468,252.36805555555554,198.71836419753086,160.9212962962963
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,elleRN7,8644321916,5,blue,blonde,light,1530518,236.27854938271605,183.9922839506173,136.49614197530863
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Angie3116,7844402843,5,brown,brunette,tan,1530583,212.53395061728395,156.1304012345679,105.88271604938272
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,takano,2451083404,5,brown,black,olive,1530534,221.1466049382716,163.69984567901236,108.18981481481481
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Amyotes,7066666450,5,brown,brunette,light,1530492,251.16203703703704,199.24614197530863,158.94675925925927
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,Baybeegirl26,1345035031,5,brown,brunette,deep,1530534,221.1466049382716,163.69984567901236,108.18981481481481
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,almaajud,5989907518,5,brown,brunette,light,1530526,224.94675925925927,163.06172839506172,115.46836419753086
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,makeup4ever8,1414563715,5,brown,brunette,deep,1530534,221.1466049382716,163.69984567901236,108.18981481481481
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,letstalkaboutit,2033690828,5,blue,brunette,light,1530500,242.92592592592592,194.29012345679013,145.5679012345679
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,superscherizmo,6082340807,5,hazel,brunette,olive,1530526,224.94675925925927,163.06172839506172,115.46836419753086
foundation-makeup,Laura Mercier Smooth Finish Foundation Powder,48.0,mrstiti06,1459231197,5,brown,brunette,medium,1530500,242.92592592592592,194.29012345679013,145.5679012345679
