Category,Product,Price,UserName,UserID,Rating,Eyecolor,Haircolor,Skintone,SwatchID,R,G,B
foundation-makeup,IT Cosmetics CC+ Cream Illumination with SPF 50+,39.5,Dina80,24027805541,5,green,red,fair,1868991,227.33024691358025,194.50385802469137,162.304012345679
foundation-makeup,IT Cosmetics CC+ Cream Illumination with SPF 50+,39.5,ajtroope,6065723555,5,green,blonde,light,1869015,223.3341049382716,180.7337962962963,147.51003086419752
foundation-makeup,IT Cosmetics CC+ Cream Illumination with SPF 50+,39.5,aet1214,1029035959,5,brown,brunette,light,1869015,223.3341049382716,180.7337962962963,147.51003086419752
foundation-makeup,IT Cosmetics CC+ Cream Illumination with SPF 50+,39.5,OstrichBakery,11134031949,5,green,brunette,fair,1868991,227.33024691358025,194.50385802469137,162.304012345679
foundation-makeup,IT Cosmetics CC+ Cream Illumination with SPF 50+,39.5,nlacey216,10345320721,5,blue,brunette,medium,1869015,223.3341049382716,180.7337962962963,147.51003086419752
foundation-makeup,IT Cosmetics CC+ Cream Illumination with SPF 50+,39.5,BriClark1989,5846963567,5,green,blonde,light,1869015,223.3341049382716,180.7337962962963,147.51003086419752
foundation-makeup,IT Cosmetics CC+ Cream Illumination with SPF 50+,39.5,SarahW210,7694956695,5,blue,blonde,tan,1942788,176.64429012345678,130.66975308641975,104.7445987654321
foundation-makeup,IT Cosmetics CC+ Cream Illumination with SPF 50+,39.5,akumo,6006144747,5,brown,brunette,medium,1869015,223.3341049382716,180.7337962962963,147.51003086419752
foundation-makeup,IT Cosmetics CC+ Cream Illumination with SPF 50+,39.5,AllieHopkins,10253383502,5,blue,brunette,fair,1868991,227.33024691358025,194.50385802469137,162.304012345679
foundation-makeup,IT Cosmetics CC+ Cream Illumination with SPF 50+,39.5,Eseff,5618908882,5,brown,brunette,fair,1868991,227.33024691358025,194.50385802469137,162.304012345679
