Category,Product,Price,UserName,UserID,Rating,Eyecolor,Haircolor,Skintone,SwatchID,R,G,B
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,50.0,CaliWebster,2330924250,5,blue,blonde,fair,1871342,234.9945987654321,198.695987654321,167.57253086419752
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,50.0,mrsmsh42,10848587390,5,green,blonde,light,1871359,225.6983024691358,179.23996913580248,160.21141975308643
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,50.0,Stancee,2683293982,5,brown,black,medium,1288794,230.42052469135803,196.02083333333334,167.6064814814815
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,50.0,vicki195,6337021484,5,hazel,brunette,porcelain,1288810,246.12114197530863,229.45756172839506,218.26929012345678
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,50.0,dreadred,2447843607,5,blue,red,porcelain,1288810,246.12114197530863,229.45756172839506,218.26929012345678
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,50.0,AmandaV518,1470971891,5,green,brunette,tan,1871367,216.44753086419752,175.61496913580248,140.93364197530863
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,50.0,amielleromero,6315870303,5,blue,blonde,light,1288794,230.42052469135803,196.02083333333334,167.6064814814815
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,50.0,Alyrenee01,11097769300,5,blue,brunette,medium,1288448,241.5054012345679,217.9320987654321,192.9560185185185
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,50.0,JnferAnn,1304523926,5,brown,brunette,deep,1288844,220.6905864197531,183.8179012345679,151.19135802469137
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,50.0,SalWardi,25185290287,5,green,brunette,tan,1871367,216.44753086419752,175.61496913580248,140.93364197530863
foundation-makeup,Bobbi Brown Skin Foundation SPF 15,50.0,heyamandarae,1753972495,5,brown,brunette,light,1288794,230.42052469135803,196.02083333333334,167.6064814814815
