Category,Product,Price,UserName,UserID,Rating,Eyecolor,Haircolor,Skintone,SwatchID,R,G,B
lipstick,MAKE UP FOR EVER Rouge Artist Sparkle Lipstick,23.0,makeupmeister,1073895450,5,brown,brunette,fair,2394666,99.09182098765432,38.623456790123456,45.58179012345679
lipstick,MAKE UP FOR EVER Rouge Artist Sparkle Lipstick,23.0,monetlelia,2775170305,5,hazel,brunette,medium,2394682,153.32793209876544,69.89737654320987,77.42824074074075
lipstick,MAKE UP FOR EVER Rouge Artist Sparkle Lipstick,23.0,SK73,21249033800,5,brown,black,medium,2394690,128.19984567901236,46.104166666666664,66.23225308641975
lipstick,MAKE UP FOR EVER Rouge Artist Sparkle Lipstick,23.0,Kahlua375,5857941632,5,,blonde,fair,2394690,128.19984567901236,46.104166666666664,66.23225308641975
lipstick,MAKE UP FOR EVER Rouge Artist Sparkle Lipstick,23.0,LivingHealthy,2466211580,1,hazel,brunette,medium,2394666,99.09182098765432,38.623456790123456,45.58179012345679
lipstick,MAKE UP FOR EVER Rouge Artist Sparkle Lipstick,23.0,thesanevegan,1762748230,1,brown,brunette,medium,2394690,128.19984567901236,46.104166666666664,66.23225308641975
