Category,Product,Price,UserName,UserID,Rating,Eyecolor,Haircolor,Skintone,SwatchID,R,G,B
lipstick,HUDA BEAUTY Mini Power Bullet Matte Lipstick Duo,19.0,Rockabilly2,6521458904,5,brown,brunette,medium,2394807,190.56442901234567,108.99421296296296,103.53356481481481
lipstick,HUDA BEAUTY Mini Power Bullet Matte Lipstick Duo,19.0,IsEl05,2157080918,5,,,,2394807,190.56442901234567,108.99421296296296,103.53356481481481
lipstick,HUDA BEAUTY Mini Power Bullet Matte Lipstick Duo,19.0,Renu13,11294074834,3,brown,black,olive,2394807,190.56442901234567,108.99421296296296,103.53356481481481
lipstick,HUDA BEAUTY Mini Power Bullet Matte Lipstick Duo,19.0,fattii,6961369545,1,brown,black,medium,2396851,152.68942901234567,49.02276234567901,47.814043209876544
lipstick,HUDA BEAUTY Mini Power Bullet Matte Lipstick Duo,19.0,fattii,6961369545,1,brown,black,medium,2394807,190.56442901234567,108.99421296296296,103.53356481481481
