Category,Product,Price,UserName,UserID,Rating,Eyecolor,Haircolor,Skintone,SwatchID,R,G,B
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,Diane0688,1435174544,5,brown,brunette,medium,2079416,223.90663580246914,164.9297839506173,142.66666666666666
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,jonieku,1095742612,5,brown,brunette,light,2079416,223.90663580246914,164.9297839506173,142.66666666666666
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,Yasteria,1429171433,5,brown,brunette,tan,2079432,196.81867283950618,146.2631172839506,122.77314814814815
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,kaydots,6026992637,5,brown,brunette,light,2079390,226.0131172839506,180.03858024691357,159.58024691358025
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,Mandy03,1677531430,5,green,auburn,light,2079390,226.0131172839506,180.03858024691357,159.58024691358025
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,Joysss,5477090020,5,brown,brunette,medium,2079416,223.90663580246914,164.9297839506173,142.66666666666666
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,italianskin,2076004305,5,green,brunette,light,2079390,226.0131172839506,180.03858024691357,159.58024691358025
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,arellle,5439144159,5,brown,black,medium,2079416,223.90663580246914,164.9297839506173,142.66666666666666
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,Ampcakeface,9948002110,5,blue,brunette,light,2079416,223.90663580246914,164.9297839506173,142.66666666666666
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,busybeauty71,1642119978,5,brown,brunette,medium,2079424,212.89043209876544,152.7577160493827,120.07638888888889
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,SueOrt,2407053629,5,brown,brunette,light,2079408,227.92283950617283,171.65895061728395,146.8287037037037
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,Iheartchiu,20184449856,5,brown,black,medium,2079416,223.90663580246914,164.9297839506173,142.66666666666666
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,jlo1965,1344600715,5,hazel,blonde,light,2079408,227.92283950617283,171.65895061728395,146.8287037037037
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,starkyshark,1943103437,5,green,brunette,fair,2079390,226.0131172839506,180.03858024691357,159.58024691358025
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,kittenn,1235918537,5,brown,blonde,light,2079382,230.30246913580248,191.4537037037037,174.3587962962963
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,GigiTheOB,11229453078,5,brown,black,olive,2079424,212.89043209876544,152.7577160493827,120.07638888888889
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,Arlenejs123,1786515779,5,brown,brunette,tan,2079416,223.90663580246914,164.9297839506173,142.66666666666666
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,mwyckel,2567291299,5,blue,brunette,fair,2079390,226.0131172839506,180.03858024691357,159.58024691358025
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,MtlBeautyLover,5797703110,5,green,brunette,light,2079390,226.0131172839506,180.03858024691357,159.58024691358025
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,onyxrebel,20184993379,5,brown,black,dark,2079457,190.78780864197532,122.72376543209876,100.51929012345678
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,honestreview11,8003647388,5,brown,black,medium,2079424,212.89043209876544,152.7577160493827,120.07638888888889
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,emrozaay,9476141078,5,brown,black,fair,2079416,223.90663580246914,164.9297839506173,142.66666666666666
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,sexysapphires,1363800144,5,brown,brunette,light,2079416,223.90663580246914,164.9297839506173,142.66666666666666
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,rxbby,5876314168,5,brown,black,tan,2079424,212.89043209876544,152.7577160493827,120.07638888888889
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,jdeezy79,2838147207,5,green,blonde,light,2079390,226.0131172839506,180.03858024691357,159.58024691358025
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,katiekroc,6054241868,5,brown,auburn,light,2079390,226.0131172839506,180.03858024691357,159.58024691358025
foundation-makeup,NUDESTIX Nudies Tinted Blur Stick,30.0,joy214,1430573185,5,brown,black,medium,2079424,212.89043209876544,152.7577160493827,120.07638888888889
