Category,Product,Price,UserName,UserID,Rating,Eyecolor,Haircolor,Skintone,SwatchID,R,G,B
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,ruuubygi,7426437943,5,brown,brunette,porcelain,2097095,243.868072,217.258716,189.646452
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,nanipoonani,23727563008,5,blue,brunette,medium,2097160,224.288616,188.613812,148.577128
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,highlightb11,1875836965,5,brown,black,olive,2097236,216.303148,167.076612,118.535292
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,RyJohnson,8244869631,5,blue,brunette,fair,2097103,235.73234,204.063668,176.182652
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,Chloexoxx,6278447367,5,green,brunette,light,2097194,238.90504,192.614056,167.436956
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,nycsavage,1802053500,5,blue,blonde,light,2097186,234.61936,188.74174,153.82312
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,sarahcy08,10977287070,5,brown,black,medium,2097152,235.636512,195.598356,153.604944
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,Jwhite12,20098093262,5,blue,blonde,fair,2097103,235.73234,204.063668,176.182652
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,Roe18,11707417705,5,brown,black,dark,2097228,231.82202,177.375232,114.6606
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,kirstykirst,9359001741,5,blue,blonde,light,2112001,252.324012,236.668736,216.418476
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,Janhael,8106614165,5,brown,black,olive,2097301,205.559628,144.691804,96.089232
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,Cherry91,7764358570,5,brown,brunette,medium,2097145,235.636512,195.598356,153.604944
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,lindzeigh,5867940134,5,blue,blonde,light,2097103,235.73234,204.063668,176.182652
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,Ingridjay,5967389853,5,brown,brunette,olive,2097277,211.422292,167.165752,119.798852
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,Candice145,8409164728,5,hazel,brunette,fair,2097087,251.414968,229.889708,213.749008
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,TheNerdyPinUp,1784599023,5,brown,black,light,2097103,235.73234,204.063668,176.182652
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,TaylorCabrera,6049140197,5,hazel,brunette,tan,2172955,174.427372,120.761624,84.694108
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,MandyMarin,1466762952,5,blue,blonde,tan,2097319,217.848244,151.00194,97.616112
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,Gioskylar,1319800850,5,hazel,blonde,olive,2097277,211.422292,167.165752,119.798852
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,KDIXX,946479501,5,brown,black,tan,2097285,228.399428,170.0428,115.62982
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,JessProff,5562007070,5,blue,red,fair,2097103,235.73234,204.063668,176.182652
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,pinkmoney,1760533846,5,green,brunette,ebony,2097350,114.506764,72.841412,29.824464
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,athenapengg,11995601521,5,hazel,brunette,light,2097095,243.868072,217.258716,189.646452
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,Liztlawton,7541496315,5,brown,brunette,light,2097095,243.868072,217.258716,189.646452
foundation-makeup,beautyblender Bounce™ Liquid Whip Long Wear Foundation,40.0,vamosramos93,2815286570,5,brown,black,tan,2097319,217.848244,151.00194,97.616112
