Category,Product,Price,UserName,UserID,Rating,Eyecolor,Haircolor,Skintone,SwatchID,R,G,B
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,PeytonW98,7939172815,5,hazel,blonde,porcelain,2250561,229.81327160493828,206.1743827160494,184.81172839506172
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,EmPie,21504442839,5,blue,blonde,fair,2250553,230.68672839506172,205.37114197530863,182.45138888888889
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,alexisvalery,8833701521,5,hazel,blonde,light,2250603,207.75694444444446,178.35108024691357,149.25385802469137
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,SRasman,1879435041,5,brown,blonde,tan,2250611,217.51697530864197,174.28703703703704,135.81867283950618
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,Sizlively,23361870008,5,hazel,brunette,medium,2250611,217.51697530864197,174.28703703703704,135.81867283950618
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,purplesagefarm,23876839025,5,brown,brunette,fair,2250595,220.77083333333334,193.8287037037037,160.43672839506172
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,roxy2993,6290416913,5,blue,brunette,medium,2250579,224.9212962962963,183.24614197530863,144.90586419753086
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,wenpahe,11384460767,5,brown,brunette,medium,2250629,215.9506172839506,187.28395061728395,157.10108024691357
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,coffeeandmascar,7054811809,5,hazel,brunette,fair,2250587,224.06712962962962,179.90663580246914,141.56095679012347
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,sammhopebeauty,10948838291,5,blue,blonde,fair,2250710,229.81327160493828,196.3564814814815,161.06712962962962
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,mmeineke,1211956664,5,hazel,brunette,porcelain,2250553,230.68672839506172,205.37114197530863,182.45138888888889
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,LIVARACHI,8760255128,5,brown,brunette,olive,2250710,229.81327160493828,196.3564814814815,161.06712962962962
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,catsndogs,22701950003,5,blue,gray,light,2250587,224.06712962962962,179.90663580246914,141.56095679012347
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,MichelleHeat,10960422023,5,brown,brunette,tan,2250637,215.04861111111111,175.10570987654322,135.84722222222223
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,sunxflower,23609193862,5,brown,brunette,medium,2250553,230.68672839506172,205.37114197530863,182.45138888888889
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,MitaMe,21282753033,5,brown,black,tan,2250611,217.51697530864197,174.28703703703704,135.81867283950618
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,DSally,1200662789,5,green,brunette,medium,2250645,228.1226851851852,180.7631172839506,131.01774691358025
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,jfolk8524,6225954149,5,brown,brunette,fair,2250702,237.11805555555554,198.74537037037038,167.78472222222223
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,mechanicaldolly,2400941818,5,brown,black,dark,2250744,171.73842592592592,124.51157407407408,93.27314814814815
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,sbg812,5998639312,5,green,blonde,light,2250702,237.11805555555554,198.74537037037038,167.78472222222223
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,ashashashley02,23610191505,5,brown,brunette,tan,2250702,237.11805555555554,198.74537037037038,167.78472222222223
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,bcurtis,23732334249,5,blue,blonde,fair,2250603,207.75694444444446,178.35108024691357,149.25385802469137
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,Muzikmiss,1894739119,5,brown,blonde,deep,2250637,215.04861111111111,175.10570987654322,135.84722222222223
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,gabbyee,6968480435,5,brown,black,fair,2250603,207.75694444444446,178.35108024691357,149.25385802469137
foundation-makeup,Laura Mercier Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,47.0,KatieMae1994,12277173730,5,brown,brunette,fair,2250553,230.68672839506172,205.37114197530863,182.45138888888889
